left_dataset,right_dataset,confidence_score
29736,7099,1.0
29736,38115,0.81
29776,31745,0.89
29897,73420,1.0
30020,51843,1.0
30039,17582,0.88
30650,24454,1.0
31002,25879,0.86
31038,74067,0.91
31546,18364,0.82
31687,53732,0.8
31731,4001,0.83
31731,38115,0.81
31785,79153,0.85
32521,9393,1.0
33250,57014,0.9
33252,57014,0.9
33498,61936,1.0
33578,61936,1.0
33721,1857,1.0
33906,9393,0.9
34068,38544,0.8
34101,38544,0.9
34296,13751,0.88
34296,58803,1.0
35151,26226,0.83
35439,20456,1.0
35999,75584,1.0
36114,12480,0.88
36238,17992,1.0
36621,20456,0.9
36741,85902,0.9
37013,17128,1.0
37205,17128,0.97
37423,48762,0.87
37445,35901,1.0
37788,35901,1.0
37921,91576,0.81
38179,44179,1.0
38276,88538,0.83
38367,18869,1.0
38750,57826,1.0
38821,67669,0.87
38823,84347,1.0
54746,80710,0.89
55120,4983,0.86
55298,70357,0.89
55910,17079,0.83
55910,44675,0.83
55989,82314,0.88
56177,24132,0.8
56182,69249,1.0
56579,90554,1.0
57424,75571,1.0
57453,93019,0.93
59924,90554,1.0
60127,70357,0.89
60381,11299,0.9
62019,53737,0.91
65285,43981,0.8
65314,2605,1.0
66081,82951,1.0
66401,57026,0.88
66647,57026,0.88
67813,37827,1.0
68962,52061,1.0
71065,58295,1.0
71441,78895,1.0
72488,32054,1.0
73980,555,1.0
77325,60817,0.92
77664,7063,1.0
78336,2673,0.83
81097,2871,0.86
81610,7063,0.88
81769,68234,0.82
83436,57026,0.85
84465,52270,0.84
2802,16328,1.0
2870,67773,0.88
5202,5558,1.0
5442,56040,1.0
6271,4741,1.0
7872,7484,0.81
10498,85246,1.0
10826,87798,0.8
13121,61971,0.91
15713,65440,0.91
15717,65440,1.0
19940,5657,1.0
19957,15657,1.0
20661,57186,0.91
20779,28319,1.0
21498,38066,0.82
22143,78342,1.0
23348,66312,0.83
23795,41702,1.0
24120,53413,1.0
24126,82611,0.88
24885,24874,1.0
25080,53413,1.0
26597,17834,0.9
28225,82858,0.92
54869,88812,0.93
55397,88035,0.88
55444,88488,1.0
56554,47002,1.0
56557,47002,0.92
56944,36885,1.0
57746,7633,0.88
57772,50495,0.86
58259,94452,0.91
58593,88035,0.94
58742,8569,0.93
59140,71926,0.8
59544,62601,0.88
59971,64596,1.0
60037,42103,0.85
60476,62601,1.0
60786,73235,0.92
60786,93830,1.0
60958,88557,1.0
61267,24180,1.0
61921,65986,1.0
62197,29713,0.88
63115,57507,0.86
63218,65891,1.0
63715,88488,0.81
63725,88488,0.84
64300,49067,1.0
64395,24180,1.0
65137,41818,0.89
65457,60008,0.91
65798,64596,1.0
66283,21619,0.85
66789,572,0.86
67146,85088,0.8
67897,85088,0.8
67991,22024,1.0
68051,46479,1.0
69107,89190,1.0
69687,3606,0.95
69688,3606,1.0
70500,82953,1.0
70610,89252,0.8
71140,7117,0.92
72195,89072,0.86
72450,18541,1.0
72511,93381,1.0
